test_th=-5
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
3,1.0,0.9966666666666667,0.9968253968253968,0.998371335504886,0.9984101748807631,0.9999935077468373,0.0033333333333332993
5,0.9840860215053764,0.9948412698412699,0.9943502824858758,0.9896800825593395,0.9891915261565067,0.9995977129202935,0.00515873015873014
6,0.6668388429752066,0.8690476190476191,0.8186429930247305,0.7740291262135922,0.7349843438656419,0.8597811989147216,0.13095238095238093
8,0.9643652561247216,0.9788888888888889,0.9785310734463277,0.9716351501668521,0.9713965227145261,0.9964724078198466,0.02111111111111108
10,0.9096699478865083,0.9823076923076923,0.9785113671753348,0.9481914604296982,0.9428357089272318,0.9940898697905068,0.017692307692307674
13,0.9935483870967742,0.9157142857142857,0.9288299155609168,0.9566101694915254,0.9600997506234413,0.9982824372759856,0.0842857142857143
14,0.8559762435040832,0.9986666666666667,0.9991334488734835,0.9070100143061517,0.92203118752499,0.9992001979707994,0.0013333333333332975
16,0.8062360801781737,0.8877777777777778,0.8775757575757576,0.8470522803114572,0.8403946604759142,0.9346523137837169,0.11222222222222222
18,0.9900403130187337,0.9983333333333333,0.9985649366180339,0.9938595369067417,0.9942843534174803,0.9998796537823097,0.0016666666666667052
20,1.0,0.997504159733777,0.9970967741935484,0.9986561146782141,0.998546276853497,0.9999993719802343,0.0024958402662229595
23,1.0,0.9969814575247952,0.9968916518650088,0.9984662576687117,0.9984434067155882,1.0,0.003018542475204833
 
 
 
test_th=-5
