 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
remaining,13,0.992831541218638,0.9838095238095238,0.9861538682045808,0.9885499058380414,0.989290370899949,0.9998583034647551,0.0161904761904762
remaining,14,0.9832962138084634,0.886888888888889,0.94376747629454,0.9488157685582578,0.9622586231764586,0.9855854161511178,0.1131111111111111
remaining,16,0.8225686711210095,0.8940740740740741,0.8901014175506464,0.8583611420096403,0.8527754589428254,0.94458859193269,0.10592592592592594
remaining,17,0.9803266518188568,0.9677777777777777,0.9077331068370414,0.9706687190011971,0.9409141981141147,0.9951774931947538,0.03222222222222223
remaining,18,0.9911864674729269,0.9975925925925925,0.9979283323694091,0.9941367105880347,0.9945108724849497,0.9999119085886928,0.002407407407407395
remaining,19,0.9977073499662845,0.9972888888888889,0.9972576427781124,0.9974969270309532,0.9974812915864955,0.9999419614894732,0.0027111111111111086
remaining,20,0.9998705920414105,0.9937326677759291,0.9928080993926398,0.9965656263998806,0.9963098511694722,0.9999982236012339,0.006267332224070987
remaining,21,0.9917776432606942,0.9485858585858585,0.9531606241131511,0.9701948314153038,0.9715380540100054,0.9951794427324088,0.05141414141414141
remaining,22,0.9643652561247216,0.8427656515488171,0.4402070117105788,0.8555386594923383,0.5990067055897776,0.9428591950802535,0.1572343484511829
remaining,23,0.9965256124721604,0.9808538163001295,0.9807079394285274,0.9885626643295355,0.98851420424729,0.9994684752951073,0.019146183699870624
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,13,0.3246594982078853,0.9056349206349207,0.8349139407046872,0.600376647834275,0.4432188923196538,0.8543805768902543,0.09436507936507937
 
remaining,1,0.9992363983455297,0.9988231448185682,0.9988583753783574,0.9990325701386649,0.9990463451339792,0.9999921077021983,0.001176855181431862
remaining,2,0.9914557823129252,0.9880555555555555,0.9860656759063406,0.989618511569731,0.9887438089824684,0.9994502380952381,0.01194444444444446
remaining,3,0.9935340667824745,0.9793434343434343,0.9810396640190949,0.9866005330174711,0.9870841565683864,0.9997650652442198,0.02065656565656565
remaining,5,0.9820215053763441,0.97,0.9680560179002379,0.9757688338493292,0.974930857865413,0.9976928827444956,0.030000000000000027
remaining,6,0.8834366391184573,0.8765262515262515,0.8707156140643346,0.8797734627831715,0.8729670156736192,0.9633059096837504,0.12347374847374848
remaining,8,0.9962138084632517,0.9906666666666666,0.9907474640395668,0.9934371523915461,0.9934554688397341,0.998988864142539,0.00933333333333335
remaining,9,0.991726045377836,0.9851147603956594,0.9856876962105163,0.9884600787513639,0.9886505116912077,0.9995134293271606,0.014885239604340711
